Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Data Analyst, Population Health",Employer Provided Salary:$120K - $145K,"Data Analyst, Population Health
HDAI is a well-funded, high-growth, and ambitious startup that is using artificial intelligence to provide clinical and operational guidance that supports population health and clinical decision-making. We are partnering with premier health systems to deploy actionable AI, with a particular focus on delivering insights that support population health initiatives.
We are looking for a statistically savvy, technically adept Data Analyst, Population Health to analyze de-identified healthcare claims for more than 100 million people, primarily in a SAS environment. The right candidate will work closely with our data science, product, and customer-facing teams to generate data sets derived from healthcare billing records that provide insights for clinical and operational leaders at leading organizations around the country.
Key responsibilities",-1,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1,-1,-1,-1
Data Analyst - Data Engineering Team (Remote),$67K - $157K (Glassdoor est.),"Overview:
Do you enjoy diving into technical problems with your team and helping them succeed? Great. Come work at Strategic! Strategic is looking for a Data Analyst on our Data Engineering Team to build out our financial payments data mart and support investigations and reconciliations of our financial payment applications. You’ll play a critical role in evolving our data architecture, ETL processes, and core transactional systems. Plus you’ll work across multiple business lines to improve our applications, our data warehouse, and the quality of our BI platform.

As a Data Analyst you’ll contribute to a variety of projects that range from researching and cleansing application data to building tools for monitoring and improving data quality. You have a passion for solving problems through data analysis and designing, implementing, and operating stable, scalable, and efficient solutions to flow data from production systems into our data warehouse.
Creating and maintaining a collaborative culture built on helping other teammates while learning new technologies and skills is a critical aspect of this role. We’re a relatively small Data Engineering team in a stable yet fast-growing financial company.
Responsibilities:
Qualifications:",3.9,"Strategic Financial Solutions
3.9","New York, NY",501 to 1000 Employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
Conservation and GIS Data Analyst,Employer Provided Salary:$48K - $58K,"JOB TITLE: Conservation and GIS Data Analyst
LOCATION: Portland, OR (other locations in the Western US may be considered)
COMPENSATION: $48,000 - $58,000 per year, commensurate with qualifications.
JOB START DATE: January 2022
APPLICATION DEADLINE: November 22, 2021
APPLICATION INSTRUCTIONS:
All applications must be submitted via our application website at: http://bit.ly/xerces-jobs
Xerces is happy to provide accommodations for the job application process if needed. If you need an accommodation to complete the job application process, please email reasonable.accomodation@xerces.org.",5.0,"Xerces Society Inc
5.0","Portland, OR",51 to 200 Employees,1971,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD)
Data Analyst,$51K - $87K (Glassdoor est.),"Grow your career with an industry-leading company driven by a century of success! At Grede, our employees are critical in helping us deliver outstanding value through operational excellence, integrity, and innovation. Teamwork and respect are championed in our culture, and if you share these values, we’d love to have you join us at Grede.

The Data Analyst will optimize statistical efficiency by implementing analytical strategies based on business needs. This position plays an essential role in process improvement, data interpretation, and reporting.

The salary for this position is $150,000 with potential for bonuses.
What You’ll Do:
Interpret data, analyze results using statistical techniques, and provide ongoing reports
We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",3.4,"Grede
3.4","Southfield, MI",1001 to 5000 Employees,1920,Company - Public,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
Inkjet Supplies Data Analyst,$51K - $106K (Glassdoor est.),"The Supplies Forecasting & Analytics team provides the Print business with driver-based business outlooks and analysis that support both long and short-term decision making and planning. We are looking for a talented professional to join our Ink Forecasting team as a
Data Analyst to play a critical role in developing and maintaining key models and solutions.
This a global role and involves managing the business data and models to help shape and optimize the business strategy. Specific responsibilities include
Responsibilities:
Harness/transform the vast amount of telemetry and information available to incorporate/utilize in useable, accurate forecasting models used to provide insights into business trends, and to derive short and long-term plans
Build model structures and data feeds to support new business model",4.2,"HP
4.2","Vancouver, WA",10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,Employer Provided Salary:$60K,"Drake Capital Solutions, Inc. is a private investment firm based in the northern suburbs of Chicago. The firm has two portfolio businesses. The first business, Yoga Design Lab, focuses on manufacturing and selling yoga accessories through multiple channels, such as online, wholesale and retail with a global presence in over 50 countries. The second business, BaxterBoo, is an online retailer of pet food and supplies.
We are looking for an analytical, skilled individual to join our team as a Data Analyst. The Data Analyst will collect and interpret data to help the company take actionable steps to improve our performance and meet our goals. The duties include gathering company information and statistics, building charts and graphs to present results to executives and finding ways to improve a company’s efficiencies using gathered data.
The successful candidate will not only be responsible for the master data set of the company but generating reports and correcting any data issues and problems that may arise. You should be analytical with strong attention to detail. Ultimately, a top-notch data analyst should possess acute commercial awareness and should be able to interpret and implement data on consumer trends and spending.",-1,Drake Capital Solutions,"Buffalo Grove, IL",-1,-1,-1,-1,-1,-1
Engineering Data Analyst,$69K - $125K (Glassdoor est.),"Applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of new ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Frequently represents the organization to external customers/clients. Exercises significant independent judgment within broadly defined policies and practices to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower level employees.
Responsibilities
Participates as a senior member of team of other data science engineers carrying out the investigation, design, development, execution, and implementation of data science projects to generate new insights, products, technologies, and intellectual property.",4.2,"HP
4.2","Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,-1,"PAMEE is an online platform that allows our users to collaborate and share the resources necessary to deal with emergency events. From Health and Human Crises, Natural Disasters, Civil Unrest, to any Emergency Event or Infrastructure need —PAMEE was designed to provide answers and share insights. The desire to help people in need is what makes us human. It's also the underlying motivation behind every decision we make.
As a Data Analyst, you are responsible for the growth and maintenance of content inside of PAMEE including emerging technology, humanitarian support, and knowledge. You will report to a Senior Content Analyst and be tasked in order to help the department achieve its goals. Our Content Analysts are encouraged to bring their own thoughts and ideas to the table for consideration. This is the ideal position for a candidate who is careful, meticulous, and likes a well-defined role.
PAMEE is headquartered in Rocky River, OH.",2.6,"PAMEE
2.6",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Online Data Analyst - Tennessee, USA",Employer Provided Salary:$15 Per Hour,"Company Info:
We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text, images, audio, video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products, to better search results, to expanded speech recognition, to more human-like bot interactions and so much more.
Position Open:
The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.",3.8,"TELUS International AI Inc.
3.8","Nashville, TN",10000+ Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst - Medicaid,Employer Provided Salary:$117K,"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities








Colorado Salary Minimum: $54,558.40
Colorado Salary Maximum:$116,625.60

The estimate displayed represents the typical salary range for this position, and is just one component of Peraton's total compensation package for employees. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, Peraton provides a variety of benefits to employees.",3.7,"Peraton
3.7","Chantilly, VA",10000+ Employees,2017,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD)
"Data Analyst, L2",Employer Provided Salary:$63K - $105K,"All ManTech employees will need to meet the requirements set forth in Executive Order 14042 and the Safer Federal Workforce Task Force Guidance requiring all covered contractor personnel to be fully vaccinated against COVID-19.
Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first.Â At ManTech International Corporation, youâ€™ll help protect our national security while working on innovative projects that offer opportunities for advancement.
The projected compensation range for this position is $63,000-$105,000. There are differentiating factors that can impact a final salary/hourly rate, including, but not limited to, Contract Wage Determination, relevant work experience, skills and competencies that align to the specified role, geographic location (For Remote Opportunities), education and certifications as well as Federal Government Contract Labor categories. In addition, ManTech invests in itâ€™s employees beyond just compensation. ManTechâ€™s benefits offerings include, dependent upon position, Health Insurance, Life Insurance, Paid Time Off, Holiday Pay, Short Term and Long Term Disability, Retirement and Savings, Learning and Development opportunities, wellness programs as well as other optional benefit elections.",4.2,"ManTech International Corporation
4.2","Colorado Springs, CO",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Entry Level Data Analyst,Employer Provided Salary:$20 - $22 Per Hour,"Qualifications:
BA or currently enrolled pursuing a bachelor's degree or program in a technical field (Math, Analytics, Statistics, Programming)
Must be fully vaccinated with COVID-19 vaccine (proof of vaccination is required at the interview)
Company Information:
Calibrated Healthcare is a Business Process Outsourcing (BPO) company providing Healthcare administration and administrative support for medical management for its clients in the Healthcare industry. Headquartered in Ontario, California, we currently have offices in India and the Philippines providing various administrative services to our clients.",-1,Calibrated Healthcare Network,"Ontario, CA",-1,-1,-1,-1,-1,-1
Healthcare Data Analyst,Employer Provided Salary:$55K,"Summary:
The role of Healthcare Data Analyst at Millennia is responsible for the ingression, analysis, quality analysis and transformation of data from internal and external sources to identify opportunities for improvement and ensure we have the right quality data to service our clients. The position will interact and work with a large number of healthcare Practice Management Systems and Health Information Systems including Epic, Cerner, Centricity, Allscripts, and similar system, so strong experience using these systems like these is required.
The Healthcare Data Analyst is responsible for and should have experience in, analyzing data sets in multiple formats and form factors and the ability to transform/manipulate this data to do the insightful quality analysis yourself or providing this data to others. The position will work across many different data formats including Excel, CSV, SQL, MySQL, and experience in these formats and capabilities like SSRS and SSIS will be valuable. The position will work collaboratively with a team of data experts and analysts to identify these opportunities to enhance our data, processes, or systems to drive better yield, revenues, cost savings, and client satisfier.",3.8,"Millennia
3.8",Remote,51 to 200 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
Medical Data Analyst,Employer Provided Salary:$50K - $55K,"Position: Medical Data Analyst
Liaison overlooking Nevada clinical operations. Main responsibility is to systematize day-to-day operational metrics into a master report for leadership.
Job Description:
1. Gather end of day patient data from Practice Fusion for master report.
a. Patient data: accurately record patient demographics.
b. Encounter results: review encounter notes and document provider’s conclusions.
c. Record insurance information.",-1,Carewell,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Business Analyst (BS in Biology),Employer Provided Salary:$80K - $100K,"ESI provides direct support to Leidos Biomedical Research, Inc. (LBR) in its support of the National Cancer Institute (NCI) and its mission to accelerate the prevention and treatment of cancer. LBR’s support of NCI includes the management and execution of IT projects sponsored by the NCI Center of Biomedical Informatics and Information Technology (CBIIT). One of the more critical projects is the building a National Cancer Data Ecosystem for sharing and analysis to “enable all participants across the cancer research and care continuum to contribute, access, combine and analyze diverse data that will enable new discoveries and lead to lowering the burden of cancer.”
The National Cancer Data Ecosystem includes:
Enhanced cloud-computing platforms.",5.0,"Essential Software Inc.
5.0","Rockville, MD",1 to 50 Employees,-1,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable
Data and Reporting Analyst,Employer Provided Salary:$46K - $60K,"We are currently hiring for a Data & Reporting Analyst, thisposition will be responsible for the analysis, development, and support of reporting for Louisville Water internal customers to provide insights to determine operational impact, trends, and opportunities. They will transform data into information that will be used by the business to aid in decisions and actions.
The position involves working closely with the business to determine reporting needs, acquiring data from multiple sources, developing and scheduling reports on a regular basis, correcting any code issues, and ensuring that reports remain error-free, accurate, and organized.
Louisville Water values Safety, Trust, Partnership, Quality, Diversity, Equality, and Inclusion We are looking for strongly skilled individuals that want to be part of passionate team that will make an impact. Someone that strives for excellence and quality of work.
Since 1860 Louisville Water provides quality water as well as competitive pay and a comprehensive benefit package, which includes:",3.6,"Louisville Water Company
3.6","Louisville, KY",201 to 500 Employees,1860,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
SQL Data Analyst,Employer Provided Salary:$55K - $65K,"Company: Palm Beach Accountable Care Organization
Job Title: SQL Data Analyst
Department: Information Technology
Reports To: CIO
FLSA Status: Exempt
Prepared Date: 1/2/2021
DISCLAIMER:
Job descriptions are not meant to be all-inclusive and/or the job itself is subject to change. Nothing in this job description restricts management's right to assign or reassign duties",-1,"Palm Beach Accountable Care Organization, LLC","West Palm Beach, FL",-1,-1,-1,-1,-1,-1
Product Data Analyst,Employer Provided Salary:$50K - $60K,"Qualifications
Bachelor's (Preferred)
Excel proficient (Required)
At Vicious Off Road you will be assisting with loading new brands to our growing website by working closely with various sources and using that data to load into the required templates. In addition to new brands, you will also be responsible to add new products and or updates to existing brands featured on our website.
The ideal candidate will have advanced Excel skills, an analytical mindset, great attention to detail, and be comfortable dealing with high amounts of ambiguity. This would be a great position for someone with a passion for the automotive industry who would like exposure to all sides of the business.",-1,Vicious Offroad,"Ontario, CA",-1,-1,-1,-1,-1,-1
Reporting and Data Analyst,Employer Provided Salary:$44K - $66K,"Job Purpose:
Ventegra was launched in 2004 to create new channels in the delivery of healthcare that are more efficient and less fragmented. Our workforce is remote based in the United States. The Reporting and Data Analyst works under supervision of the Director of Strategy and Reporting to help develop Ventegra’s strategic roadmap for reporting and analytics. The main goal of this department is to foster a data-driven culture within Ventegra. This position provides a unique opportunity for a high-performing, analytically-inclined individual to apply and build their skills in a dynamic and entrepreneurial operating environment. The individual will have the opportunity to work across multiple functional areas in the company and interact closely with management.
Duties include:
· Interpret and refine customer requirements/requests for information",-1,Ventegra Inc. A California Benefit Corporation,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,Employer Provided Salary:$100K - $130K,"Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Interfinancial Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among ’s lists of Best Workplaces—Small & Medium Businesses and Best Workplaces in Financial Services and Insurance.",4.8,"IntraFi Network
4.8","Arlington, VA",201 to 500 Employees,2002,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Data Analyst - Medicaid,$117K (Employer est.),"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities








Colorado Salary Minimum: $54,558.40
Colorado Salary Maximum:$116,625.60

The estimate displayed represents the typical salary range for this position, and is just one component of Peraton's total compensation package for employees. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, Peraton provides a variety of benefits to employees.",3.7,"Peraton
3.7","Chantilly, VA",10000+ Employees,2017,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD)
Data Developer / Analyst - WORK FROM HOME,$117K (Employer est.),"REMOTE OPPORTUNITY FOR DATA OPERATIONS DEVELOPER / ANALYST
DIRECT HIRE / W2 / NO 3rd PARTIES / US CITIZENSHIP OR GREEN CARD REQUIRED
ABOUT THIS OPPORTUNITY:
This is a work from home opportunity for anyone willing to come to the Metro Atlanta area a few times a year for meetings! Awesome small company that provides extensive data management services to pharmaceutical and biotech companies. Their service offering includes data aggregation, data warehousing, master data management, customized reporting, and proprietary analytics applications. Entirely cloud based on AWS solutions.
SKILLS NEEDED ON YOUR RESUME:",-1,Custom Recruiting Solutions,"Chattanooga, TN",-1,-1,-1,-1,-1,-1
WORK FROM HOME ** Data Analyst / Developer ** WORK FROM HOME,$117K (Employer est.),"REMOTE OPPORTUNITY FOR DATA OPERATIONS DEVELOPER / ANALYST
DIRECT HIRE / W2 / NO 3rd PARTIES / US CITIZENSHIP OR GREEN CARD REQUIRED
ABOUT THIS OPPORTUNITY:
This is a work from home opportunity for anyone willing to come to the Metro Atlanta area a few times a year for meetings! Awesome small company that provides extensive data management services to pharmaceutical and biotech companies. Their service offering includes data aggregation, data warehousing, master data management, customized reporting, and proprietary analytics applications. Entirely cloud based on AWS solutions.
SKILLS NEEDED ON YOUR RESUME:",-1,Custom Recruiting Solutions,"Augusta, GA",-1,-1,-1,-1,-1,-1
Remediation Data Analyst,$117K (Employer est.),"Credit Acceptance is proud to be an award-winning company with local and national workplace recognition in multiple categories! Our world-class culture is shaped by dedicated Team Members who share a drive to succeed as professionals and together as a company. A great product, amazing people and our stable financial history have made us one of the largest used car finance companies nationally.

Our Support teams work with multiple departments in a dynamic environment that promotes flexibility and autonomy, while offering the opportunity to collaborate with a diverse group of professionals. We work to comply with our company standards, exceed customer expectations and drive our Great Place to Work culture. Through the consistent delivery of quality services and understanding the needs of our business, we develop innovative improvements as we strive towards our company’s Big, Hairy, Audacious Goals!
The purpose of the “Data Analyst, Remediation, Compliance” position is to collect and analyze data to develop and execute remediation plans at the direction of in-house counsel. The Remediation Team in the Compliance Department investigates issues and incidents throughout the Company, providing insight into all aspects of the business. Individuals in this role must act with the highest integrity when conducting investigations and mitigating risk to the Company.",4.1,"Credit Acceptance
4.1","Southfield, MI",1001 to 5000 Employees,1972,Company - Public,Lending,Finance,$500 million to $1 billion (USD)
"Analyst, Data & Research",$117K (Employer est.),"Job Summary
The Los Angeles Homeless Services Authority (LAHSA) seeks motivated professionals who want to use their talents and skills to make a difference. Our 500+ FTE staff are adaptive problem solvers and passionate about enriching people’s lives. If you are mission-driven, dedicated to superior service and support, can diligently work independently and in a collaborative environment, join our team. LAHSA is leading the fight to end homelessness in LA County. Here, not only would your work have a real impact on the community, but we also offer a comprehensive and competitive benefits package.
Created in 1993, LAHSA is a joint powers authority of the city and county of Los Angeles. As the lead agency in the HUD-funded Los Angeles Continuum of Care, we coordinate and manage over $800 million annually in federal, state, county, and city funds for programs providing shelter, housing, and services to people experiencing homelessness.
Under the supervision of the Data and Research Supervisor, this position is responsible for collecting, managing, and analyzing data for research and evaluation, with a particular focus on collection of feedback and program assessment.",3.3,"Los Angeles Homeless Services Authority
3.3","Los Angeles, CA",201 to 500 Employees,1993,Government,State & Regional Agencies,Government,$100 to $500 million (USD)
