Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Ranking Team,Employer Provided Salary:$123K - $179K,"Your Job
We’re looking for a Data Scientist to join our growing team here at Indeed. The Ranking team focuses on leveraging our understanding of jobs + Job seekers, and our scale. The team’s mission is to match every jobseeker find the most relevant jobs in their job search. We work hard to ensure each personalized search brings the most relevant and attainable search results for every jobseeker.

Responsibilities:
Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries
Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Austin, TX",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Data Scientist - Ads Optimization,Employer Provided Salary:$153K - $223K,"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Seattle, WA",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist - Big Data,$72K - $146K (Glassdoor est.),"Job Title: Data Scientist - Big Data
Location: Seattle, WA
Duration: 6 Months

Summary:
The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets.

Job Responsibilities:
Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement.







IND123",4.5,"Ursus
4.5","Seattle, WA",51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"AI/ML - Data Scientist, ML Platform & Technology",-1,"Summary
Posted: Oct 21, 2021
Weekly Hours: 40
Role Number:200292010
Apple is seeking qualified people for the position of AI/ML Data Scientist. This team improves AI/ML platform services and infrastructure by discovering, validating, and/or implementing end-to-end performance improvements of our systems and our users' code. We use analytics of our service metrics to do our work. As a member of the team, you will work on some of the most daring service improvement projects in our organization, which impact Apple’s company-wide AI/ML infrastructure.
Key Qualifications",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
People Products Data Scientist,$64K - $115K (Glassdoor est.),"Job Title: People Products Data Scientist
Location: Seattle, WA
Duration: 6 Months

Summary:
The People Product Data Science team is part of the People Insights team which includes DS, DE and UXR for people products and recruitment products. We benefit from the close collaboration with our DE and UXR partners to combine data insights with qualitative insights.

Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our employees interact with our internal products

The Data Scientist Analytics role has work across the following four areas:









IND123",4.5,"Ursus
4.5","Seattle, WA",51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$113K - $201K (Glassdoor est.),"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Design and analyze experiments to verify product hypothesis and direction;
Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;
Keep track of core metrics and attribute metrics changes to root causes;",3.6,"TikTok
3.6","Mountain View, CA",501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Scientist / Engineer (NeurIPS 2021),-1,"Summary
Posted: Sep 21, 2021
Role Number: 200290877
Imagine what you could do here! At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Combining groundbreaking machine learning techniques with next-generation hardware, our teams take user experiences to the next level. We are looking for machine learning scientists and engineers to join our teams in Santa Clara Valley, Seattle, Pittsburgh, Boston, Beijing, and Cambridge (UK). This posting is for attendees of the virtual NeurIPS 2021 conference who are interested in full-time ML positions at Apple.
Key Qualifications",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - ML Applied Scientist, ML Platform & Technology",-1,"Summary
Posted: Aug 23, 2021
Weekly Hours: 40
Role Number:200272282
We’re looking for applied machine learning scientist to help us build a next generation Deep Learning framework geared towards fueling on-device machine learning capabilities and emerging innovations. You’ll be part of a small team of developers and deep learning experts working in the area of device-aware neural network optimization and neural architecture search. We’re looking for candidates passionate about machine learning, computational science and hardware. Any background and experience level is acceptable. In exchange we offer respectful work environment, flexible set of responsibilities, access to world class experts and growth opportunities in one of the best companies in the world.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - Machine Learning Scientist, Siri Understanding",-1,"Summary
Posted: Apr 8, 2021
Role Number: 200018211
“Hey Siri, let’s work together at Apple!“ The Siri Understanding team is looking for Machine Learning Engineers passionate about enabling personalized Siri interactions and delivering such technology to users on a global scale. Build end-to-end model training and evaluation pipelines. Push the envelope on the latest research developments in speaker recognition. Deploy machine-learned, on-device models that are aligned with the core values of Apple, ensuring the highest standards of quality, innovation, and respect for user privacy. And work with the people who created the intelligent assistant that helps millions of people around the world get things done — just by saying ‘Hey Siri.’",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$130K - $150K,"Do you want to be part of the US's hottest up and coming startup? We are one of the fastest-growing MIT FinTech startups and has been recognized as a global Top 100 InsurTech company. We’re changing the way millions of people compare and buy insurance with artificial intelligence, technology, and superior product design.
Our team is highly analytical, fast-moving, and focused on one thing: getting more people to compare insurance quotes using our product. How you will make an impact
Reporting to the Director of Analytics, this role will be one of the first on our Customer Acquisition Data Science team
Partner closely with the Marketing team to assist in the development of more sophisticated bidding and targeting methodologies across Paid Search, Retargeting, and Email campaigns",5.0,"Engtal
5.0",Remote,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Sr. Renewables Python Data Scientist / Quantitative Energy Analyst - REMOTE,Employer Provided Salary:$100K - $200K,"Sr. Renewables Python Data Scientist / Quantitative Energy Analyst
Locations: FULLY REMOTE (Anywhere in the USA)
We are currently working with an aggressively growing renewable energy venture with strong private equity backing that is focused on the development and execution of dynamic utility-scale energy storage projects. They are at the forefront of the industry, have accumulated over 2GW of projects in a relatively short period of time, and are currently in an accelerated expansion phase.
The company is looking to make some key additions to their Software Engineering, Development, & Data Science Team. One of their critical needs right now is a Sr. Python Data Scientist. This is a Full-time REMOTE position that does not require relocation but the company has offices in California and Texas. It is a highly technical role that will utilize PYTHON to provide predictive modeling and quantitative forecasting guidance to support the strategic analysis of innovative utility-scale renewable energy projects across all ISO / RTO markets in the United States. The role will be part of a creative team focused on energy storage / battery storages trading strategies and real-time energy pricing.",-1,TBC Power & Renewables,"Seattle, WA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Data Scientist, Ad Platforms/Data Insights",-1,"Summary
Posted: Oct 26, 2021
Weekly Hours: 40
Role Number:200304566
At Apple, we work every day to build products that enrich people’s lives. Our Advertising Platforms group makes it possible for people around the world to easily access enlightening and imaginative content on their devices while helping publishers and developers promote and monetize their work. Our technology and services power advertising in Apple News and Search Ads in the App Store. Our platforms are highly performant, deployed at scale, and set new standards for enabling effective advertising while protecting user privacy. The Ad Platforms Data Insights team is seeking a data scientist to join the Product and Customer Analytics Team in Austin, TX. The team is passionate about developing the next generation of analytical tools working with Sales, Marketing, Finance, Product, and Engineering. In this role you will work as a key member of a data-centric team to drive the exploration, analysis, development, execution, and measurement of analytical solutions. You’ll be tasked with turning the huge amounts of data generated by user searches, app content, and App Store context into business insights that improve the customer experience and drive discovery and efficiency for app developers. A successful candidate will have deep experience in applied methods, building reporting dashboards, and using those to drive key business insights. The role requires a broad knowledge of existing data mining algorithms, a strong eye for business, and creativity to invent and customize when needed. You’ll work directly with a broad range of data professionals and business leaders while using tools and methods to drive real-world business value. You will be a key player in a multi-functional team that delivers insights that have direct and measurable impact.",4.3,"Apple
4.3","Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Science Lead (100% Remote),Employer Provided Salary:$65 Per Hour,"Our client is a curriculum company focused on developing and teaching K-12 supplemental curriculum that situates Black people, Black culture, and Black contributions to American and world history in an authentic, identity-affirming way so that students of all backgrounds benefit from a more complete understanding of their shared history and society.

They do this by:
Developing high-quality K-12 curriculum, designed by a diverse group of educators with deep expertise in curricular design, Black culture and experiences, that situates Black identity and history in an accurate light.
Facilitating small online groups led by outstanding instructors, content specialists, artists, and other charismatic leaders.
Building a unique platform that enables our outstanding instructors, eager students, and worldclass curriculum to interact.
**This is a W2 contract to hire opportunity**",4.8,"The Mom Project
4.8","Boston, MA",51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$44 - $47 Per Hour,"Data Science Lead Analyst – Model Governance
Remote (New York, NY)
6–12-month Contract to Hire
$45- $47/hour, $110,000+ Conversion Salary
As the Data Governance Analyst, you will manage data model governance and provide strategic insight into model bias. You will conduct research on machine learning models using Python to identify areas of weakness or bias in a data model. The Data Governance Analyst will present these findings to analytical teams and suggest opportunities of improvement. Lastly, as the Data Governance Analyst you will help to create a standard and guidelines for data model governance across an enterprise organization. This is a great opportunity to be mentored and trained on new methodologies in an agile environment.",4.1,"Brooksource
4.1","New York, NY",501 to 1000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Scientist,Employer Provided Salary:$140K - $180K,"We are looking for experienced Data Scientists to join our fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for multiple Fortune 500 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent as we continue to build the best global analytics consulting team in the world.
As a Data Scientist, you will apply strong expertise in AI through the use of machine learning, data mining, and information retrieval to design, prototype, and build next generation advanced analytics engines and services. You will collaborate with cross-functional teams and business partners to define the technical problem statement and hypotheses to test. You will develop efficient and accurate analytical models which mimic business decisions and incorporate those models into analytical data products and tools. You will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results.",5.0,"Engtal
5.0",Remote,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
Data Scientist,-1,"Equivalent Experience
Description:
Summary: The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Job Responsibilities: • Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. • Use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data. • Generate and test hypotheses and analyze and interpret the results of product experiments. • Work with product engineers to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation. • Provide Business Intelligence (BI) and data visualization support, which includes, but limited to support for the online customer service dashboards and other ad-hoc requests requiring data analysis and visual support. Skills: • Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau. • The ability to communicate effectively in writing, including conveying complex information and promoting in-depth engagement on course topics. • Experience working with large datasets. Education/Experience: • Master of Science degree in computer science or in a relevant field.",3.9,"TEKsystems
3.9","Seattle, WA",1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
"REMOTE Senior Data Scientist - Python, AI/ML",Employer Provided Salary:$130K,"No sponsorship available. No third-party candidates.
This position is 100% REMOTE. Qualified applicants must reside within the United States.
Powering more than a TRILLION transactions on a weekly basis, this SaaS powerhouse company consistently generates data-driven results to help their global clientele communicate more effectively with buyers.
As with any prosperous company, tremendous success requires internal growth! We’re searching for a skilled Senior Data Scientist with a solid technical background and comfortability with cutting-edge technologies to join our client’s growing technical team.
What you get to do:",3.9,"Technology Navigators
3.9",Remote,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Scientist,Employer Provided Salary:$55 Per Hour,"This position is a 6 month Contract to Hire position!! Conversion salary is $110K. No C2C for this role.
*Must be a US Citizen for consideration
**Position is 100% REMOTE.
***Most Important Things: NLP and Mathematics background, experience or strong desire towards ML/AI.
REQUIREMENTS FOR CONSIDERATION:
NLP (Natural Language Processing) Data Science experience.
Excellent understanding of machine learning techniques and algorithms.",3.8,"Meridian Technologies
3.8",Remote,51 to 200 Employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Senior Data Analyst,Employer Provided Salary:$75 - $80 Per Hour,"TeamSoft is looking for a Senior Data Analyst!
Responsibilities:
· Use knowledge of enhancement techniques such as Data Quality, Master Data Management, and Data Governance.
· Analyze master data and master relationship data within the data sets.
· Develop and implement data analysis, data collection systems, and other strategies.
· Interact with data users, managers, and other stakeholder to report the data analysis findings and suggest improvements.",4.7,"TeamSoft, Inc - a Peoplelink Company
4.7",Remote,201 to 500 Employees,1996,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Software Engineer--Big Data + AI-ML (Remote),$100K (Employer est.),"Software Engineer--Big Data + AI-ML
Position Description
Here is the opportunity to advance your professional career while balancing your personal life! This is a permanent employee(only) position that is 100% remote.
Churchill Systems, an established (1989) provider of AI & ML-based demand planning solutions to larger retailers, is expanding its technical staff. We are looking for an experienced Software Engineer who can assist with project leadership, product development, customer implementations and our several Azure environments.
Your Responsibilities",-1,CHURCHILL SYSTEMS INC.,Remote,-1,-1,-1,-1,-1,-1
SR MANAGER DATA ENGINEER ( Remote),$100K (Employer est.),"We are seeking a Senior Manager - Data Engineer who can provide leadership and direction for data engineering and database administration teams – including guiding architectural and design decisions, driving towards completing key initiatives, resource planning, and removing impediments. You will work closely with the Marketing, Analytics, Finance, Operations, Development, and DevOps teams to understand data requirements and provide solutions. The ideal candidate will be smart, passionate about data, and eager to continually learn and grow.
If you are looking to work in a team environment, a place where you are more a name than a number, where you interact with leadership daily, then please send your resume for review!
Perks:
1000% Remote Opportunity
Room for advancement",3.6,"Confidential
3.6",Remote,201 to 500 Employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Senior Data Scientist,$100K (Employer est.),"OVERVIEW
The Connecticut Hospital Association (CHA) seeks a Senior Healthcare Analyst to work as part of a small team focused on developing business intelligence capabilities to support CHA members. The Senior Analyst brings advanced data analytics skills and experience, and will collaborate with colleagues across the organization in support of utilization management, community health, advocacy, and quality and patient safety measurement and analysis needs. This is a unique opportunity for an intellectually curious individual tOVERVIEW
The Connecticut Hospital Association (CHA) seeks a Senior Healthcare Analyst to work as part of a small team focused on developing business intelligence capabilities to support CHA members. The Senior Analyst brings advanced data analytics skills and experience, and will collaborate with colleagues across the organization in support of utilization management, community health, advocacy, and quality and patient safety measurement and analysis needs. This is a unique opportunity for an intellectually curious individual to participate in expanding existing and developing new data sources and to help lead the advancement of CHA’s exciting new data and analytics services.",4.7,"Connecticut Hospital Association
4.7","Yalesville, CT",51 to 200 Employees,-1,Nonprofit Organization,Membership Organizations,Business Services,$5 to $10 million (USD)
Machine Learning Data Research Scientist,$100K (Employer est.),"Description
Job Description:
Looking for an opportunity to make an impact?
At Leidos, we deliver innovative solutions through the efforts of our diverse and talented people who are dedicated to our customers’ success. We empower our teams, contribute to our communities, and operate sustainable. Everything we do is built on a commitment to do the right thing for our customers, our people, and our community. Our Mission, Vision, and Values guide the way we do business. Your greatest work is ahead!
The Leidos Research Support Team supporting the National Energy Technology Laboratory (NETL) is seeking a Machine Learning Data Research Scientist to join our Team in Albany, OR as part of our Workforce Development Program. This opportunity will allow side by side execution of research with world-class scientists and engineers using state of the art equipment to contribute to new areas of basic and applied research.",3.9,"Leidos
3.9","Albany, OR",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
"Principal Applied Scientist, NLP",$100K (Employer est.),"About the team
At Zillow Group, we believe that home matters, and we are on a mission to help everyone get into a home where they can thrive. The process of buying, selling, or renting a home should be easy!

The Core NLP and Conversational AI Team builds products that transform the way real estate works, by reducing friction in the home buying, selling and renting process. Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant amounts of data and building ML and deep learning models to drive transactions and revenue. These solutions ingest large volumes of data and process it to build and deploy large production models that improve the home buying/selling and renting experience.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $177,100.00 - $282,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3","Seattle, WA",5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
